,City,State,Average2018,Average2019,Average2020,2018-2019 changing rate,2019-2020 changing rate
31,Baltimore,MD,146018.83333333334,150184.83333333334,152224.77777777778,2.7739152533156366,1.3400869912402886
32,Milwaukee,WI,114728.5,123462.66666666667,131991.55555555556,7.074338261498757,6.4616928355686065
33,Fresno,CA,239291.5,250252.33333333334,261782.22222222222,4.379912541608007,4.404381928999503
34,Omaha,NE,184378.66666666666,193938.75,204428.33333333334,4.929434336012449,5.131178815721896
35,Albuquerque,NM,194988.58333333334,205392.83333333334,219264.0,5.065537015653742,6.326239905623658
36,Oklahoma City,OK,134486.33333333334,140213.66666666666,148912.44444444444,4.084718322750265,5.841538502863728
37,Raleigh,NC,267249.5,281376.4166666667,291586.6666666667,5.020647015845032,3.5016175865380217
38,Mesa,AZ,242867.75,258280.41666666666,281235.1111111111,5.96741590616142,8.162101223333904
39,Miami,FL,346168.9166666667,353490.5,359586.1111111111,2.0712249221218997,1.6951742358112372
40,Atlanta,GA,266197.9166666667,283438.25,291884.77777777775,6.082571189080272,2.8937883784430833
41,Kansas City,MO,150172.33333333334,159016.08333333334,166719.11111111112,5.561544351121715,4.62036279250796
42,Colorado Springs,CO,283017.4166666667,301741.25,325316.77777777775,6.205261406364994,7.246944943578064
43,Long Beach,CA,570824.9166666666,579669.4166666666,608928.0,1.5257834458232156,4.804933150279404
44,Virginia Beach,VA,275790.25,281181.75,293321.55555555556,1.9174430772978688,4.13873625228892
45,Oakland,CA,750840.3333333334,753520.9166666666,784182.8888888889,0.3557410649184486,3.910053720461472
46,Tulsa,OK,123655.5,127037.5,133122.66666666666,2.6622060415231723,4.571097333787377
47,Minneapolis,MN,271179.3333333333,281159.75,292955.8888888889,3.549731662041486,4.026592171821085
48,Honolulu,HI,736730.75,732010.6666666666,720233.6666666666,-0.6448107313554683,-1.6351637732384077
49,Cleveland,OH,58002.583333333336,63487.0,69254.88888888889,8.638645181953256,8.328493455736782
50,New Orleans,LA,236619.58333333334,233824.5,237698.66666666666,-1.1953765894221278,1.6298647026487276
51,Arlington,TX,202618.08333333334,214524.08333333334,224117.55555555556,5.549959619918353,4.2805536578521775
52,Knoxville,TN,181168.75,193480.0,206359.66666666666,6.363060781476122,6.2413682260260765
53,Baton Rouge,LA,184570.58333333334,179494.91666666666,181584.55555555556,-2.8277495323683834,1.150780077356074
54,Wichita,KS,129383.0,136251.41666666666,143256.0,5.040987341416015,4.889556691051923
55,Tampa,FL,231498.66666666666,243883.25,258432.66666666666,5.078078684507174,5.629867483212903
56,Aurora,CO,344594.0,358075.4166666667,371537.77777777775,3.7649657136939316,3.623416491219664
57,Riverside,CA,403901.4166666667,416447.5,431792.77777777775,3.012644651086467,3.5538523494423067
58,Bakersfield,CA,236393.25,246167.58333333334,258063.22222222222,3.970601328160258,4.609583181382336
59,Cincinnati,OH,149100.08333333334,160754.25,170547.11111111112,7.24967872803777,5.742026966807484
60,Pittsburgh,PA,164473.58333333334,174351.16666666666,183322.0,5.665338249337772,4.893484324485519
61,Anaheim,CA,611111.5,618968.5,646569.5555555555,1.269369927548817,4.268845527661706
62,Santa Ana,CA,558706.5,572399.5,598067.8888888889,2.3922103356135005,4.291885480856779
63,Columbia,SC,134749.16666666666,141193.83333333334,147489.11111111112,4.564410863080672,4.268300032695447
64,Town of Islip,NY,366387.25,384674.5,412540.1111111111,4.753954317221443,6.75464284819712
65,Marietta,GA,290040.1666666667,301455.25,312765.0,3.7866593245044875,3.6160535865585985
66,Vancouver,WA,336401.6666666667,348944.4166666667,369186.55555555556,3.594483648661331,5.482902501264789
67,Corpus Christi,TX,158975.41666666666,160463.75,170411.22222222222,0.9275199746567951,5.837334004476751
68,Saint Louis,MO,121461.16666666667,125399.25,133162.66666666666,3.140436113719443,5.830024931912842
69,Greensboro,NC,146186.83333333334,155232.25,166146.55555555556,5.827021554262505,6.569083252469878
70,Lexington,KY,192661.33333333334,199914.08333333334,209075.77777777778,3.627933499765941,4.381997064328614
71,Fort Wayne,IN,128276.33333333333,139887.08333333334,149689.66666666666,8.300087272770607,6.548603889380016
72,Silver Spring,MD,414215.8333333333,425423.8333333333,435710.55555555556,2.6345491535304206,2.360907279169791
73,Toledo,OH,68520.25,72074.58333333333,78444.55555555556,4.931465669243082,8.120349687889975
74,Anchorage,AK,296106.6666666667,315661.9166666667,325540.0,6.194998182390812,3.034368536380572
75,Saint Paul,MN,216396.16666666666,226346.75,235423.88888888888,4.3961679738424975,3.8556575255508334
76,Naples,FL,330896.1666666667,330037.0833333333,333331.55555555556,-0.260299032053228,0.9883469378503429
77,Durham,NC,230907.58333333334,248199.5,259217.11111111112,6.966942587179529,4.250340984005691
78,Tallahassee,FL,175158.41666666666,181657.83333333334,188502.33333333334,3.57783451855917,3.6309895368227094
79,Stockton,CA,287567.5,300046.9166666667,314531.1111111111,4.159155109909206,4.605011692890296
80,Plano,TX,348239.6666666667,348048.6666666667,350208.8888888889,-0.05487738304796456,0.6168382045001621
81,Newark,NJ,248253.5,279290.0,304311.1111111111,11.112642772745176,8.222214108368632
82,Henderson,NV,319024.8333333333,332684.0,341596.3333333333,4.105747997098354,2.609024882195256
83,Lincoln,NE,187760.5,196037.08333333334,202793.66666666666,4.2219478032430136,3.3317526352729527
84,Modesto,CA,294297.75,305447.0833333333,322604.55555555556,3.650168537103393,5.318422175618524
85,Reno,NV,367897.5,384844.8333333333,397165.22222222225,4.403679578219615,3.1020815014853995
86,Spokane,WA,217180.08333333334,241871.08333333334,267085.6666666667,10.208330677533796,9.440635152017396
87,Chandler,AZ,310567.6666666667,327782.9166666667,353533.6666666667,5.252027828377267,7.28381832564744
88,Lubbock,TX,139676.5,144190.41666666666,150523.22222222222,3.1305247401439584,4.207195050745219
89,Jersey City,NJ,509275.25,515026.75,529459.3333333334,1.1167381111757788,2.7259097015949676
90,Buffalo,NY,93145.91666666667,104224.0,111491.22222222222,10.629109738000201,6.51820123357992
91,Mobile,AL,117117.91666666667,122310.83333333333,129402.55555555556,4.2456718878812785,5.4803571627900265
92,Hialeah,FL,274104.0833333333,287202.8333333333,295955.0,4.560801106302921,2.9572626469114174
93,San Bernardino,CA,272290.3333333333,286808.3333333333,303873.77777777775,5.061917075863672,5.6159648158007105
94,Chula Vista,CA,507967.5,514766.4166666667,544535.5555555555,1.3207770449930645,5.466886153745687
95,Saint Petersburg,FL,186557.75,200305.58333333334,214795.11111111112,6.863429917704911,6.745743747529947
96,Pensacola,FL,145138.08333333334,154430.83333333334,162766.44444444444,6.017418801297236,5.121209804368622
97,Lawrenceville,GA,214120.91666666666,228311.0,239043.88888888888,6.215242950770372,4.489923979557445
98,Madison,WI,261074.08333333334,273009.6666666667,285776.1111111111,4.371853743884531,4.467288883877625
99,Winston-Salem,NC,136303.08333333334,145365.25,155339.11111111112,6.234066715853106,6.42070180508308
100,Norfolk,VA,196207.0,204510.5,212088.77777777778,4.060182729004135,3.573163020307535
101,Glendale,AZ,224752.66666666666,238036.16666666666,260262.88888888888,5.58045451076412,8.540104321869425
102,Scottsdale,AZ,469150.6666666667,489500.6666666667,524189.77777777775,4.157297708821642,6.6176626446571
103,Fayetteville,NC,118473.33333333333,123926.41666666667,129586.22222222222,4.400259024676614,4.36759823575208
104,Boise,ID,281394.0,316299.4166666667,348678.3333333333,11.035561505145578,9.286185452685606
105,Irvine,CA,894327.5,895065.6666666666,903923.0,0.0824706716117992,0.9798769732967711
106,Laredo,TX,173625.83333333334,177767.08333333334,171536.77777777778,2.329593264594823,-3.6320523425167686
107,Sarasota,FL,264866.3333333333,270625.0833333333,278644.8888888889,2.1279439174922503,2.8781455807551173
108,Chesapeake,VA,271810.25,281864.9166666667,289827.44444444444,3.5671933866666103,2.747333950047663
109,Fort Myers,FL,216621.16666666666,218189.91666666666,222812.0,0.7189837293886556,2.074431957584575
110,Garland,TX,193970.33333333334,206703.66666666666,211902.55555555556,6.160187450311306,2.453433784816194
111,Spring,TX,215416.58333333334,222532.5,228635.11111111112,3.197697714566033,2.669148706624243
112,Gilbert,AZ,329119.4166666667,348224.0833333333,375988.55555555556,5.4863140090109495,7.384392905576033
113,North Las Vegas,NV,249471.16666666666,266261.3333333333,273875.22222222225,6.305897464145498,2.7800575850235285
114,Fremont,CA,1102804.0833333333,1090737.6666666667,1085007.2222222222,-1.1062620312308378,-0.5281480461215616
115,Santa Clarita,CA,548817.6666666666,551690.5833333334,575661.0,0.5207478165221678,4.163981347818703
116,Fontana,CA,398530.6666666667,410650.6666666667,429685.1111111111,2.9514136914425237,4.429858971660383
117,Irving,TX,226077.75,241110.41666666666,249342.11111111112,6.234764501049826,3.3013655045121046
118,Arlington,VA,665950.5,708807.1666666666,743781.3333333334,6.0463083165778695,4.702210864842007
119,Springfield,MO,133787.25,142785.58333333334,151905.88888888888,6.301990105210208,6.003918361734188
120,Birmingham,AL,57638.5,62534.5,68410.66666666667,7.829278238412396,8.589547438995874
121,Greenville,SC,189805.08333333334,201095.83333333334,209613.55555555556,5.614611607235356,4.063535967245543
122,Santa Rosa,CA,599124.3333333334,576637.0,585481.3333333334,-3.899738194623892,1.5106089348706884
123,Oxnard,CA,488843.1666666667,500207.0833333333,518972.6666666667,2.271842411934383,3.615909765318412
124,Richmond,VA,215062.91666666666,229445.33333333334,244981.77777777778,6.268341333302349,6.3418775818246775
125,Des Moines,IA,140984.16666666666,148062.66666666666,152323.55555555556,4.780745990436483,2.797261968674878
126,Ocala,FL,139046.08333333334,149458.25,157239.33333333334,6.9666055013133485,4.948560368694862
127,Boca Raton,FL,330569.9166666667,336838.4166666667,346547.6666666667,1.8609813162146736,2.801706932091112
128,Shreveport,LA,110335.0,108390.41666666667,111422.11111111111,-1.7940546711924825,2.7209091752185577
129,Woodbridge,VA,330320.5833333333,338486.3333333333,354610.8888888889,2.4124312256821794,4.547112359149216
130,Rochester,NY,84941.58333333333,93529.33333333333,101431.88888888889,9.181878768871085,7.790997133270608
131,Montgomery,AL,90703.83333333333,94164.25,96988.11111111111,3.6748730719637988,2.9115538788832063
132,Bradenton,FL,235997.08333333334,242452.83333333334,249198.44444444444,2.6626828448419864,2.7069234425397637
133,Corona,CA,485598.6666666667,498098.9166666667,512327.77777777775,2.5095918866182365,2.7772964356585867
134,Oceanside,CA,523702.4166666667,530286.3333333334,557396.1111111111,1.2415776633881481,4.863646738355822
135,Tacoma,WA,300117.1666666667,327242.5,357410.44444444444,8.289061883261898,8.440700296639966
136,Grand Rapids,MI,163965.0,179501.66666666666,190964.11111111112,8.65544423914355,6.002407665896512
137,Gainesville,FL,179432.0,190320.58333333334,200244.33333333334,5.721180096565143,4.955820639119209
138,Yonkers,NY,516635.4166666667,525744.75,538301.7777777778,1.7326532187593529,2.3327115562604654
139,Glendale,CA,820642.9166666666,832062.6666666666,873757.2222222222,1.3724627311724917,4.771869633250535
140,Augusta,GA,101941.75,108014.83333333333,115246.66666666667,5.622453089004747,6.27509110892579
141,Moreno Valley,CA,325635.5833333333,340166.1666666667,356285.0,4.271613334071546,4.5241403183780715
142,Akron,OH,66488.5,72205.83333333333,76912.22222222222,7.918104492942623,6.119169038297629
143,Aurora,IL,189064.91666666666,193277.91666666666,195080.77777777778,2.179762733714621,0.9241613303207228
144,Wilmington,NC,234106.0,243741.66666666666,256914.44444444444,3.953229170228038,5.127301349779219
145,Huntington Beach,CA,847973.5833333334,856416.5,889435.0,0.9858423636941404,3.7123005053770095
146,Huntsville,AL,162950.91666666666,170393.41666666666,188345.0,4.367833068668048,9.531223729503486
147,Amarillo,TX,134741.91666666666,138741.08333333334,141725.55555555556,2.882467521936859,2.105810917814553
148,Eugene,OR,304029.3333333333,321903.75,344103.6666666667,5.552720857295601,6.451519939243121
149,Salt Lake City,UT,372028.3333333333,403676.5833333333,426918.22222222225,7.840001453308641,5.444049393794919
150,Port Saint Lucie,FL,221203.58333333334,230673.58333333334,238560.0,4.105368227759066,3.3058419964229784
151,Salinas,CA,485910.5833333333,506320.4166666667,526896.5555555555,4.031011324350777,3.9051572214575407
152,Little Rock,AR,194942.33333333334,198336.08333333334,202853.88888888888,1.7111107282966245,2.2271229702823763
153,Fort Collins,CO,402437.5833333333,416542.6666666667,428517.3333333333,3.386227741375843,2.7944416095187035
154,Hayward,CA,667900.6666666666,663419.25,681916.1111111111,-0.675502959352872,2.712483369981158
155,Brownsville,TX,95705.0,98930.33333333333,104612.22222222222,3.260206677426197,5.431381504179458
156,Rockford,IL,90893.25,95618.16666666667,98182.0,4.941442438588209,2.611306892641552
157,Evansville,IN,123240.41666666667,129505.58333333333,135534.55555555556,4.837757960242376,4.448291579597175
158,Worcester,MA,241278.83333333334,253502.16666666666,273190.3333333333,4.821786533053951,7.206758169822989
159,Overland Park,KS,304457.5,314702.75,323408.0,3.2555324031963497,2.691723766882699
160,Lancaster,CA,278810.75,289638.8333333333,306989.55555555556,3.7384777478618423,5.651893332599815
161,Salem,OR,272965.0833333333,291647.1666666667,302070.55555555556,6.405713982020525,3.4506471078316827
162,Garden Grove,CA,620547.9166666666,636949.5833333334,666593.3333333334,2.5750337382799255,4.447051675684325
163,Grand Prairie,TX,203497.66666666666,218471.16666666666,228291.22222222222,6.853764837007477,4.301547584688372
164,Beaverton,OR,388939.25,399758.9166666667,411460.1111111111,2.7065479256560305,2.843822311923849
165,Escondido,CA,514457.75,520844.0,547371.5555555555,1.2261348887574783,4.846352589262941
166,Providence,RI,216950.08333333334,226576.33333333334,243895.66666666666,4.248568179377369,7.101123841205316
167,Fort Lauderdale,FL,321871.1666666667,331771.6666666667,341686.3333333333,2.9841306521051125,2.9016866346229713
168,Ontario,CA,412656.0833333333,424208.9166666667,442389.8888888889,2.723382955764533,4.109716944002882
169,Columbus,GA,99332.91666666667,103932.16666666667,109395.33333333333,4.425242105026836,4.993966835879645
170,Sioux Falls,SD,211411.66666666666,220979.91666666666,228509.22222222222,4.329918367393115,3.2949679152263758
171,Charleston,SC,325282.0833333333,330713.6666666667,337390.77777777775,1.6423824839413064,1.9790437530894638
172,Kissimmee,FL,214457.16666666666,231354.58333333334,239576.0,7.303687881696755,3.431652864505066
173,Chattanooga,TN,159505.0,171088.08333333334,179981.88888888888,6.770245541161307,4.941500286757235
174,Tempe,AZ,275710.5,291794.5833333333,317124.3333333333,5.512125396433272,7.987324635027482
175,Murfreesboro,TN,247200.08333333334,258217.16666666666,270825.77777777775,4.266596011238595,4.655617059265648
176,Rancho Cucamonga,CA,518479.5,527895.25,546597.3333333334,1.7836398414268742,3.421546757149694
177,Cape Coral,FL,229793.5,232561.25,239026.33333333334,1.1901165821907134,2.7047577742480295
178,Savannah,GA,168895.66666666666,177702.41666666666,186484.66666666666,4.955897711014059,4.709368419923711
179,Fredericksburg,VA,300774.3333333333,311671.3333333333,321272.77777777775,3.496311285178618,2.988564580807931
180,Killeen,TX,127849.75,135543.5,144628.22222222222,5.6762220246636685,6.281431163734753
181,Palmdale,CA,307046.5833333333,317020.5,334717.0,3.146142494465401,5.287003647857742
182,Roanoke,VA,155508.66666666666,162783.41666666666,171377.55555555556,4.468974880221727,5.014740034673291
183,Newport News,VA,178165.16666666666,183682.0,190976.0,3.003469764774634,3.8193280831099194
184,El Cajon,CA,499775.3333333333,505645.6666666667,531743.2222222222,1.1609579039867914,4.90792443888435
185,Clarksville,TN,178903.66666666666,187340.0,200576.66666666666,4.503220525959936,6.599305336280387
186,Jackson,MS,48097.416666666664,47916.666666666664,45607.88888888889,-0.37721739130434784,-5.062233385549762
187,Elk Grove,CA,435354.1666666667,443899.5833333333,466901.6666666667,1.9250787762622654,4.926536993870951
188,Peoria,AZ,280108.25,294097.9166666667,316765.3333333333,4.75680576905368,7.155901950550132
189,Sugar Land,TX,322574.4166666667,322944.6666666667,325597.8888888889,0.11464812341433105,0.8148769733355392
190,Naperville,IL,388880.8333333333,390714.6666666667,393454.77777777775,0.4693535947801734,0.6964233924384249
191,Fairfax,VA,546246.8333333334,564664.6666666666,587254.0,3.2617293803874023,3.846603570743387
192,Boynton Beach,FL,252188.83333333334,259092.58333333334,265926.44444444444,2.664588044621115,2.5698313401617265
193,Topeka,KS,114344.75,118424.58333333333,124703.77777777778,3.4450898778758594,5.035288069326962
194,McKinney,TX,338900.1666666667,337938.0,341888.0,-0.28471692046076086,1.155349120179708
195,Lafayette,LA,173073.08333333334,172738.33333333334,175019.11111111112,-0.1937902222050693,1.3031592740348372
196,Pembroke Pines,FL,299423.0833333333,309457.9166666667,319750.6666666667,3.2427134007182037,3.2189925066614404
197,Edmond,OK,245576.91666666666,250629.5,259124.88888888888,2.0159571532215255,3.2784920527381853
198,Lakeland,FL,159295.41666666666,169767.66666666666,180072.0,6.168577448002466,5.722340693352295
199,Pueblo,CO,165668.58333333334,182994.41666666666,197685.33333333334,9.467957355711661,7.431465156747433
200,Springfield,MA,161184.91666666666,169305.41666666666,180909.0,4.796361604890571,6.414044261663789
201,Odessa,TX,169776.25,180522.5,186030.11111111112,5.952859061889792,2.9606019575086777
202,Henrico,VA,244966.5,255636.08333333334,263670.1111111111,4.173739166321399,3.0469998074192888
203,Dayton,OH,52516.166666666664,57177.833333333336,64254.555555555555,8.152926396301604,11.013572751434825
204,Midland,TX,243631.91666666666,270744.25,265191.1111111111,10.014001528502764,-2.0940139605818815
205,Lakewood,CO,407269.6666666667,428517.75,444861.22222222225,4.958507164133414,3.673836110187677
206,Cumming,GA,342459.1666666667,350774.1666666667,360999.0,2.370471029556053,2.8323716501523033
207,Alexandria,VA,502257.5833333333,523444.25,552416.8888888889,4.0475497947807595,5.244705488125713
208,Tyler,TX,148990.16666666666,155948.41666666666,168872.55555555556,4.461892046568818,7.653190802005202
209,Pomona,CA,429698.0,437954.75,461362.77777777775,1.8852975107588168,5.073670635183443
210,Visalia,CA,242415.25,249081.0,260193.22222222222,2.6761374813815584,4.2707577573760345
211,Cypress,TX,263403.5833333333,269890.8333333333,275886.3333333333,2.403657034171224,2.173177600920186
212,Round Rock,TX,300414.6666666667,316996.3333333333,317513.3333333333,5.230870178309096,0.16282780775610473
213,Ann Arbor,MI,371068.1666666667,383233.5,384039.55555555556,3.174391939465969,0.20988868044842773
214,Whittier,CA,537341.9166666666,539540.5,568667.8888888889,0.4074918070716419,5.12203862008112
215,Kansas City,KS,103791.16666666667,111414.66666666667,118924.66666666667,6.8424564090903655,6.314922051494784
216,Sunnyvale,CA,1663966.0833333333,1502535.25,1566069.888888889,-10.74389657968645,4.0569478629057985
217,Hollywood,FL,268479.8333333333,281015.25,290061.77777777775,4.460760284954887,3.1188279431661217
218,Las Cruces,NM,167364.33333333334,181416.91666666666,182297.33333333334,7.746015967823644,0.4829564155262937
219,Edinburg,TX,125717.08333333333,132077.25,138110.11111111112,4.815489924772564,4.368153108107791
220,Conroe,TX,233889.41666666666,242121.16666666666,247693.66666666666,3.3998473216234024,2.2497547373704885
221,Lansing,MI,92105.75,98188.0,103322.44444444444,6.194494235548132,4.9693408552729155
222,South Bend,IN,102632.0,109356.16666666667,117237.11111111111,6.148868300370201,6.722226750346397
223,Cary,NC,373739.3333333333,386672.1666666667,394453.1111111111,3.3446507010891753,1.9725904613926777
224,Paterson,NJ,252487.25,281788.9166666667,310091.44444444444,10.398445408457341,9.127155322999695
225,Pasadena,TX,146055.5,155809.91666666666,164221.77777777778,6.260459459416088,5.1222567584756735
226,Beaumont,TX,112239.66666666667,117537.0,123920.0,4.506949584669788,5.150903808908973
227,Yuma,AZ,159244.66666666666,165356.58333333334,176605.44444444444,3.6962040116334562,6.369487161903267
228,Frisco,TX,428298.0833333333,426081.8333333333,429613.55555555556,-0.5201465602656141,0.8220695498435089
229,Columbia,MO,191188.58333333334,196042.16666666666,204127.11111111112,2.4757853965090746,3.9607401488397316
230,Syracuse,NY,92366.5,97402.41666666667,106004.88888888889,5.17021737140335,8.115165547920219
231,Pasadena,CA,822577.9166666666,825465.3333333334,857339.0,0.34979260182944216,3.7177437007609155
232,Bridgeport,CT,188764.08333333334,200903.75,215080.22222222222,6.042528656964669,6.591248640042319
233,Macon,GA,80108.25,85052.41666666667,89107.77777777778,5.813081932808107,4.5510742297093385
234,Canton,OH,98701.0,105738.83333333333,113057.0,6.655864370232944,6.472988551497627
235,Newark,DE,240608.41666666666,246339.16666666666,250297.66666666666,2.3263657491196086,1.5815169404961824
236,Mesquite,TX,171537.0,186388.16666666666,192220.0,7.967869920211311,3.0339368085180225
237,Renton,WA,486632.3333333333,481157.9166666667,518695.44444444444,-1.1377588265806622,7.236911019718481
238,Metairie,LA,259420.08333333334,263985.5,273937.3333333333,1.729419482004374,3.6328868402992343
239,Santa Maria,CA,387943.3333333333,399513.4166666667,417727.6666666667,2.8960437498865903,4.360316889073663
240,Torrance,CA,828127.5,832937.8333333334,869083.6666666666,0.5775140881862578,4.159074059229425
241,Clearwater,FL,191379.08333333334,201232.0,213036.55555555556,4.896297142932863,5.541093886338758
242,Fullerton,CA,657255.5833333334,660193.4166666666,682827.7777777778,0.4449958541190021,3.314797939939307
243,McAllen,TX,136822.66666666666,140914.5,147687.88888888888,2.9037702531203977,4.586285943856066
244,Orange,CA,706113.5,709767.25,733041.5555555555,0.5147814301096592,3.1750322173640537
245,Compton,CA,400526.0,413685.9166666667,445168.8888888889,3.181137219440437,7.072141159909341
246,Hampton,VA,166635.66666666666,177946.25,185709.66666666666,6.356179651627018,4.180405256233291
247,Bellevue,WA,924025.8333333334,900209.75,953660.0,-2.6456149062297283,5.6047490719963085
248,Inglewood,CA,548564.5833333334,566922.6666666666,609658.0,3.2381988607499537,7.009722390804905
249,Kent,WA,406519.25,407906.9166666667,442841.1111111111,0.3401919923315886,7.888652062314799
250,West Valley City,UT,277797.9166666667,301865.8333333333,321550.77777777775,7.973050941505458,6.121877415593941
251,Olathe,KS,268101.5,276920.0833333333,287757.3333333333,3.184522851207667,3.766107321910128
252,Warren,MI,129032.5,137500.75,145587.66666666666,6.1586936798526555,5.554671526663196
253,Miramar,FL,308541.6666666667,319989.0833333333,331418.6666666667,3.577439751199834,3.4486842422877118
254,Thornton,CO,381409.75,393081.0833333333,406718.77777777775,2.969192318887553,3.3531017473443963
255,Abilene,TX,134937.66666666666,140632.33333333334,144715.22222222222,4.0493295757021395,2.8213264825860973
256,Billings,MT,245329.5,255105.33333333334,262774.55555555556,3.8320772073235143,2.9185558723553044
257,Concord,CA,512779.8333333333,531865.0833333334,542709.4444444445,3.588363026275001,1.9981891271879695
258,Cedar Rapids,IA,140246.66666666666,145099.33333333334,147780.66666666666,3.344375577190811,1.8144006207397319
259,Bloomington,IN,200689.66666666666,214954.41666666666,227003.22222222222,6.6361744137226,5.307768514299115
260,Boulder,CO,726446.1666666666,757756.3333333334,763644.4444444445,4.131957106704056,0.7710540100104777
261,Sterling Heights,MI,204617.58333333334,212289.08333333334,221905.44444444444,3.613704425843847,4.333539961214704
262,Saginaw,MI,61213.333333333336,66073.33333333333,70881.11111111111,7.355463626273827,6.782875864123028
263,Carrollton,TX,280009.8333333333,288726.5,295043.8888888889,3.019004721307773,2.1411692045816118
264,Coral Springs,FL,309451.0833333333,317784.25,327689.55555555556,2.6222717666676956,3.0227712136758185
265,Thousand Oaks,CA,733115.5,737328.3333333334,752125.0,0.5713646340278129,1.9673148302033077
266,Victorville,CA,253011.25,261908.83333333334,275306.6666666667,3.3972062797932905,4.866512495156919
267,Roseville,CA,460859.75,476460.1666666667,494483.3333333333,3.2742331380622622,3.6448481580100363
268,Surprise,AZ,250862.75,265220.0833333333,285741.77777777775,5.413365817885203,7.181901996985622
269,New Haven,CT,176439.75,183211.75,191433.0,3.696269480532772,4.294583483516426
270,Hamilton,OH,166902.83333333334,178893.75,187217.77777777778,6.702814752704696,4.446173796410599
271,Waco,TX,131066.41666666667,139240.66666666666,147928.55555555556,5.87059096719827,5.873030299160941
272,Simi Valley,CA,583490.3333333334,590295.0,607928.8888888889,1.1527569548558987,2.9006499298163506
273,Stamford,CT,478275.3333333333,477454.3333333333,476522.1111111111,-0.17195361790272437,-0.1956304231189857
274,Pearland,TX,271176.0,278497.4166666667,279516.22222222225,2.628899310556149,0.36448888277603675
275,Elizabeth,NJ,271279.25,299151.5833333333,321169.77777777775,9.317127130922193,6.8556246471232924
276,Denton,TX,240908.91666666666,249430.0,256635.88888888888,3.4162223202234463,2.8078258734921846
277,Santa Fe,NM,358304.0833333333,395173.3333333333,409218.1111111111,9.329893211417776,3.4321007297656885
278,Gainesville,GA,207347.83333333334,218849.83333333334,229191.0,5.2556585603979595,4.512029995360488
279,Springfield,IL,112834.08333333333,113675.66666666667,115061.0,0.7403372753477082,1.203999038191332
280,Allentown,PA,156296.66666666666,167402.58333333334,175970.44444444444,6.634256440686162,4.868920538423741
